-3.000834e+02	3.947180e-101	0.000000e+00
-3.000102e+02	7.907920e-101	0.000000e+00
-2.999370e+02	1.189583e-100	0.000000e+00
-2.998638e+02	1.592460e-100	0.000000e+00
-2.997906e+02	2.000808e-100	0.000000e+00
-2.997174e+02	2.416029e-100	0.000000e+00
-2.996442e+02	2.839550e-100	0.000000e+00
-2.995710e+02	3.272825e-100	0.000000e+00
-2.994978e+02	3.717344e-100	0.000000e+00
-2.994246e+02	4.174632e-100	0.000000e+00
-2.993514e+02	4.646262e-100	0.000000e+00
-2.992782e+02	5.133852e-100	0.000000e+00
-2.992050e+02	5.639079e-100	0.000000e+00
-2.991318e+02	6.163677e-100	0.000000e+00
-2.990586e+02	6.709449e-100	0.000000e+00
-2.989854e+02	7.278270e-100	0.000000e+00
-2.989122e+02	7.872093e-100	0.000000e+00
-2.988390e+02	8.492959e-100	0.000000e+00
-2.987658e+02	9.143001e-100	0.000000e+00
-2.986926e+02	9.824451e-100	0.000000e+00
-2.986194e+02	1.053965e-99	0.000000e+00
-2.985462e+02	1.129106e-99	0.000000e+00
-2.984730e+02	1.208125e-99	0.000000e+00
-2.983998e+02	1.291295e-99	0.000000e+00
-2.983266e+02	1.378901e-99	0.000000e+00
-2.982534e+02	1.471243e-99	0.000000e+00
-2.981802e+02	1.568640e-99	0.000000e+00
-2.981070e+02	1.671426e-99	0.000000e+00
-2.980338e+02	1.779954e-99	0.000000e+00
-2.979606e+02	1.894596e-99	0.000000e+00
-2.978874e+02	2.015747e-99	0.000000e+00
-2.978142e+02	2.143823e-99	0.000000e+00
-2.977410e+02	2.279264e-99	0.000000e+00
-2.976678e+02	2.422535e-99	0.000000e+00
-2.975946e+02	2.574128e-99	0.000000e+00
-2.975214e+02	2.734565e-99	0.000000e+00
-2.974482e+02	2.904396e-99	0.000000e+00
-2.973750e+02	3.084205e-99	0.000000e+00
-2.973018e+02	3.274610e-99	0.000000e+00
-2.972286e+02	3.476265e-99	0.000000e+00
-2.971554e+02	3.689862e-99	0.000000e+00
-2.970822e+02	3.916136e-99	0.000000e+00
-2.970090e+02	4.155864e-99	0.000000e+00
-2.969358e+02	4.409870e-99	0.000000e+00
-2.968626e+02	4.679026e-99	0.000000e+00
-2.967894e+02	4.964257e-99	0.000000e+00
-2.967162e+02	5.266544e-99	0.000000e+00
-2.966430e+02	5.586924e-99	0.000000e+00
