-62	-2.71003748210529e-09
-61.99	-1.19154290540467e-08
-61.98	-2.75907258062684e-08
-61.97	-4.96808545961135e-08
-61.96	-7.81280520237941e-08
-61.95	-1.12871877235142e-07
-61.94	-1.53849225189121e-07
-61.93	-2.00994340389489e-07
-61.92	-2.54238831077262e-07
-61.91	-3.13511683883496e-07
-61.9	-3.78739278938599e-07
-61.89	-4.49845405437287e-07
-61.88	-5.26751277656904e-07
-61.87	-6.09375551426016e-07
-61.86	-6.9763434104178e-07
-61.85	-7.9144123663335e-07
-61.84	-8.90707321968971e-07
-61.83	-9.95341192704232e-07
-61.82	-1.1052489750691e-06
-61.81	-1.22033434499041e-06
-61.8	-1.34049854764867e-06
-61.79	-1.46564041746513e-06
-61.78	-1.59565639851558e-06
-61.77	-1.7304405653713e-06
-61.76	-1.86988464436057e-06
-61.75	-2.01387803524949e-06
-61.74	-2.16230783333993e-06
-61.73	-2.31505885198014e-06
-61.72	-2.47201364548472e-06
-61.71	-2.63305253246206e-06
-61.7	-2.79805361954615e-06
-61.69	-2.96689282552749e-06
-61.68	-3.13944390588181e-06
-61.67	-3.31557847769234e-06
-61.66	-3.49516604496232e-06
-61.65	-3.67807402431436e-06
-61.64	-3.86416777107316e-06
-61.63	-4.05331060572712e-06
-61.62	-4.24536384076748e-06
-61.61	-4.44018680789934e-06
-61.6	-4.63763688561924e-06
-61.59	-4.83756952716146e-06
-61.58	-5.03983828880145e-06
-61.57	-5.2442948585198e-06
-61.56	-5.45078908501691e-06
-61.55	-5.65916900707785e-06
-61.54	-5.86928088328373e-06
-61.53	-6.08096922206073e-06
-61.52	-6.29407681207074e-06
-61.51	-6.50844475293161e-06
-61.5	-6.72391248626684e-06
-61.49	-6.94031782708069e-06
-61.48	-7.15749699545324e-06
-61.47	-7.37528464854975e-06
-61.46	-7.5935139129426e-06
-61.45	-7.81201641724155e-06
-61.44	-8.03062232502428e-06
-61.43	-8.24916036806566e-06
-61.42	-8.46745787986258e-06
-61.41	-8.68534082944449e-06
-61.4	-8.90263385546975e-06
-61.39	-9.11916030060305e-06
-61.38	-9.33474224616551e-06
-61.37	-9.54920054705565e-06
-61.36	-9.76235486693778e-06
-61.35	-9.97402371368644e-06
-61.34	-1.01840244750922e-05
-61.33	-1.03921734548141e-05
-61.32	-1.05982859085796e-05
-61.31	-1.08021760806262e-05
-61.3	-1.1003657240378e-05
-61.29	-1.1202541719353e-05
-61.28	-1.13986409482969e-05
-61.27	-1.15917654945384e-05
-61.26	-1.17817250995588e-05
-61.25	-1.19683287167722e-05
-61.24	-1.21513845495133e-05
-61.23	-1.23307000892215e-05
-61.22	-1.25060821538234e-05
-61.21	-1.26773369263021e-05
-61.2	-1.28442699934537e-05
-61.19	-1.30066863848197e-05
-61.18	-1.31643906117949e-05
-61.17	-1.33171867069034e-05
-61.16	-1.34648782632368e-05
-61.15	-1.36072684740485e-05
-61.14	-1.37441601725037e-05
-61.13	-1.38753558715715e-05
-61.12	-1.40006578040598e-05
-61.11	-1.41198679627876e-05
-61.1	-1.42327881408813e-05
-61.09	-1.4339219972201e-05
-61.08	-1.44389649718844e-05
-61.07	-1.45318245769991e-05
-61.06	-1.46176001873083e-05
-61.05	-1.46960932061346e-05
-61.04	-1.47671050813207e-05
-61.03	-1.48304373462794e-05
-61.02	-1.48858916611311e-05
-61.01	-1.49332698539161e-05
-61	-1.49723739618833e-05
-60.99	-1.50030062728456e-05
-60.98	-1.50249693665943e-05
-60.97	-1.50380661563726e-05
-60.96	-1.50420999303982e-05
-60.95	-1.5036874393429e-05
-60.94	-1.5022193708367e-05
-60.93	-1.49978625378979e-05
-60.92	-1.4963686086152e-05
-60.91	-1.49194701403914e-05
-60.9	-1.48650211127082e-05
-60.89	-1.48001460817333e-05
-60.88	-1.47246528343493e-05
-60.87	-1.46383499073985e-05
-60.86	-1.45410466293846e-05
-60.85	-1.44325531621577e-05
-60.84	-1.43126805425804e-05
-60.83	-1.4181240724169e-05
-60.82	-1.40380466186974e-05
-60.81	-1.38829121377693e-05
-60.8	-1.37156522343416e-05
-60.79	-1.35360829441998e-05
-60.78	-1.33440214273772e-05
-60.77	-1.31392860095135e-05
-60.76	-1.29216962231432e-05
-60.75	-1.26910728489112e-05
-60.74	-1.24472379567124e-05
-60.73	-1.21900149467385e-05
-60.72	-1.19192285904413e-05
-60.71	-1.16347050713939e-05
-60.7	-1.13362720260506e-05
-60.69	-1.10237585843951e-05
-60.68	-1.06969954104803e-05
-60.67	-1.03558147428378e-05
-60.66	-1.0000050434769e-05
-60.65	-9.62953799450031e-06
-60.64	-9.24411462519858e-06
-60.63	-8.84361926484548e-06
-60.62	-8.42789262595822e-06
-60.61	-7.99677723515857e-06
-60.6	-7.55011747257609e-06
-60.59	-7.08775961108666e-06
-60.58	-6.6095518553764e-06
-60.57	-6.11534438082653e-06
-60.56	-5.60498937221508e-06
-60.55	-5.07834106222394e-06
-60.54	-4.53525576975557e-06
-60.53	-3.97559193804289e-06
-60.52	-3.3992101725534e-06
-60.51	-2.80597327867979e-06
-60.5	-2.19574629921135e-06
-60.49	-1.5683965515818e-06
-60.48	-9.23793664883271e-07
-60.47	-2.61809616650837e-07
-60.46	4.17681230600466e-07
-60.45	1.11480209308197e-06
-60.44	1.82967372969437e-06
-60.43	2.56241440623979e-06
-60.42	3.31313985990858e-06
-60.41	4.08196326402905e-06
-60.4	4.86899519308949e-06
-60.39	5.67434358804451e-06
-60.38	6.49811372190382e-06
-60.37	7.34040816561496e-06
-60.36	8.20132675423473e-06
